ID_PERGUNTA;PERGUNTA;ID_QUESTIONARIO;QUESTIONARIO;CL_PERGUNTA;Tipo_Pergunta;EIXO_SINAES;DIM_SINAES;Ordem
1732;O plano de ensino da disciplina (objetivos, conteúdos, metodologias de ensino e de avaliação, e bibliografia) foi disponibilizado no início da oferta.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);1
1733;O plano da disciplina foi cumprido e, quando necessário, adaptado ao perfil da turma.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);2
1734;A carga horária proposta para esta disciplina foi adequada aos elementos do plano de ensino.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);3
1735;O conteúdo abordado é atual, coerente e articulado com o mercado de trabalho.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);4
1736;As metodologias de ensino corresponderam aos propósitos do plano de ensino.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);5
1737;As formas de avaliação da aprendizagem foram compatíveis com os objetivos do plano de ensino, e contribuíram para a minha formação e autonomia.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);6
1738;O material didático sugerido para a disciplina teve coerência com o conteúdo programático do plano de ensino e ofereceu condições adequadas para o estudo e a aprendizagem.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);7
1739;Esta disciplina teve carga horária na modalidade a distância, nos termos da Resolução n.º 72/10-Cepe.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);8
1740;Houve interação regular do docente com o estudante no ambiente virtual de aprendizagem (AVA), de acordo com as necessidades didáticas da disciplina.;523;Disciplina: avaliação da percepção discente sobre o processo formativo;Disciplina;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);9
1742;O guia da disciplina foi disponibilizado no início da oferta e apresentou informações básicas do plano da disciplina e instruções sobre como cursá-la.;524;Disciplina EaD: avaliação da percepção discente sobre o processo formativo;DisciplinaEAD;AvPDSPF;Eixo 3: Políticas Acadêmicas;Dim 2: Ensino (Pedagógico);1
